id,DeptName,JobTitle,Sex,Salary
1,Admininstration,Manager-Branch,M,95000.0
2,Shipping,Clerk-Shipping,M,15000.084
3,Shipping,Clerk-Shipping,F,21320.004
4,Assembly,Assembler,F,24996.4
5,France Headquarters,Director-Operations,F,0.0
6,France Headquarters,Assistant-Senior,F,0.0
7,Operations- Paris,Clerk,F,21087.358
8,Administrative Department,Officer-Personnel,M,29550.048
9,Hotline- Bordeaux,Chief-Group,M,69162.0
10,"Headquarters - Reading, UK",Specialist,F,24000.0
11,"Headquarters - Reading, UK",Specialist,F,12000.0
12,"Headquarters - Reading, UK",Specialist,F,18000.0
13,"Headquarters - Reading, UK",Specialist,F,34440.0
14,Sales and Marketing - Wales,Director,F,66600.0
15,Human Resources,Administrator-Human Resources,M,180000.0
16,Personnel Department,Employee,M,18000.0
17,Intermediate Instruction,Special Education Teacher,M,43556.4
18,GP US Dept D,Staff,M,24000.0
19,GP US Dept D,Chief Executive Officer,M,336000.0
20,Vice Presidency,Director,M,223200.0
21,Recruitment,Assistant,F,2397600.0
22,Marketing,Manager-Office,M,32155.2
23,Shipping,Director-Administration,M,300000.0
24,Research and Development,Programmer,M,180000.0
25,DB 3,DB 3,M,1200.0
26,Human Resources,Accountant,F,240000.0
27,Finance,Budget Analyst,F,36000.0
28,Police Services,Law Enforcement Officer,M,50000.0
29,Fire Protection,Fire Chief,F,120000.0
30,Alumni Relations,Assistant Professor,F,92600.0
31,Financial Aid Office,Financial Aid Clerk,M,7020.0
32,Liberal Arts Department,Professor,M,158000.0
33,PeopleSoft University,Teacher's Assistant,U,42000.0
34,Electrical Engineering,Teaching Assistant,M,39000.0
35,German Public Sector Dept Four,Education,F,0.0
36,Human Resources,Data Entry Operator,F,31720.0
37,Benefits,Specialist-Benefits,M,72000.0
38,Benefits,Analyst-Human Resources,M,66000.0
39,Benefits,Analyst-Business,M,61750.0
40,Benefits,Analyst-HRMS,M,55120.0
41,Information Systems,Financial Analyst,M,84960.0
42,Information Systems,Coordinator-Environmental,F,96000.0
43,Information Systems,Supervisor-Line,F,46280.0
44,Information Systems,Specialist-Time & Labor,M,53227.2
45,Information Systems,Specialist-Time & Labor,M,53227.2
46,Information Systems,Data Entry Operator,F,66560.0
47,Information Systems,Data Entry Operator,M,79040.0
48,Finance & Administration,Manager-Accounting,F,77309.467
